committee_name	sect_ind	donations
Appropriations (S)	Ideological/Single-Issue - Republican/Conservative	500031
Appropriations (S)	Ideological/Single-Issue - Women's Issues	443610
Appropriations (S)	Labor - Building Trade Unions	266975
Appropriations (S)	Labor - Industrial Unions	120026
Appropriations (S)	Labor - Misc Unions	59252
Appropriations (S)	Labor - Public Sector Unions	356732
Appropriations (S)	Labor - Transportation Unions	294863
Appropriations (S)	Lawyers & Lobbyists - Lawyers/Law Firms	4160745
Appropriations (S)	Lawyers & Lobbyists - Lobbyists	2144770
Appropriations (S)	Misc Business - Beer, Wine & Liquor	466274
Appropriations (S)	Misc Business - Business Associations	142843
Appropriations (S)	Misc Business - Business Services	973946
Appropriations (S)	Misc Business - Casinos/Gambling	534370
Appropriations (S)	Misc Business - Chemical & Related Manufacturing	399045
Appropriations (S)	Misc Business - Food & Beverage	681053
Appropriations (S)	Misc Business - Lodging/Tourism	402955
Appropriations (S)	Misc Business - Misc Manufacturing & Distributing	896816
Appropriations (S)	Misc Business - Misc Services	243939
Appropriations (S)	Misc Business - Recreation/Live Entertainment	215902
Appropriations (S)	Misc Business - Retail Sales	796318
Appropriations (S)	Misc Business - Steel Production	89064
Appropriations (S)	Misc Business - Textiles	61485
Appropriations (S)	Other - Civil Servants/Public Officials	383785
Appropriations (S)	Other - Clergy & Religious Organizations	26911
Appropriations (S)	Other - Education	664746
Appropriations (S)	Other - Non-Profit Institutions	383770
Appropriations (S)	Other - Retired	4700579
Appropriations (S)	Transportation - Air Transport	827822
Appropriations (S)	Transportation - Automotive	757070
Appropriations (S)	Transportation - Railroads	572668
Appropriations (S)	Transportation - Sea Transport	458891
Appropriations (S)	Transportation - Trucking	322213
Armed Services (H)	Agribusiness - Agricultural Services/Products	923547
Armed Services (H)	Agribusiness - Crop Production & Basic Processing	1477796
Armed Services (H)	Agribusiness - Dairy	261446
Armed Services (H)	Agribusiness - Food Processing & Sales	640167
Armed Services (H)	Agribusiness - Forestry & Forest Products	371616
Armed Services (H)	Agribusiness - Livestock	483344
Armed Services (H)	Agribusiness - Poultry & Eggs	129775
Armed Services (H)	Agribusiness - Tobacco	127582
Armed Services (H)	Communications/Electronics - Electronics Mfg & Equip	921520
Armed Services (H)	Communications/Electronics - Internet	369108
Armed Services (H)	Communications/Electronics - Printing & Publishing	331996
Armed Services (H)	Communications/Electronics - TV/Movies/Music	697402
Armed Services (H)	Communications/Electronics - Telecom Services	763042
Armed Services (H)	Communications/Electronics - Telephone Utilities	546305
